,director_name,genres,actor_1_name,movie_title,imdb_score,plot_keywords,plot_keywords_vector,movie_id
11,Bryan Singer,Action|Adventure|Sci-Fi,Kevin Spacey,Superman Returns ,6.1,crystal|epic|lex luthor|lois lane|return to earth,,
12,Marc Forster,Action|Adventure,Giancarlo Giannini,Quantum of Solace ,6.7,action hero|attempted rape|bond girl|official james bond series|revenge,,
13,Gore Verbinski,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,7.3,box office hit|giant squid|heart|liar's dice|monster,,
14,Gore Verbinski,Action|Adventure|Western,Johnny Depp,The Lone Ranger ,6.5,horse|outlaw|texas|texas ranger|train,,
15,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,Man of Steel ,7.2,based on comic book|british actor playing american character|final battle|origin of hero|reboot,,
16,Andrew Adamson,Action|Adventure|Family|Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,6.6,brother brother relationship|brother sister relationship|good versus evil|king|narnia,,
17,Joss Whedon,Action|Adventure|Sci-Fi,Chris Hemsworth,The Avengers ,8.1,alien invasion|assassin|battle|iron man|soldier,,
18,Rob Marshall,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,6.7,blackbeard|captain|pirate|revenge|soldier,,
19,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,Men in Black 3 ,6.8,alien|criminal|m.i.b.|maximum security prison|prison,,
20,Peter Jackson,Adventure|Fantasy,Aidan Turner,The Hobbit: The Battle of the Five Armies ,7.5,army|elf|hobbit|middle earth|orc,,
21,Marc Webb,Action|Adventure|Fantasy,Emma Stone,The Amazing Spider-Man ,7.0,lizard|outcast|spider|spider man|teenager,,
22,Ridley Scott,Action|Adventure|Drama|History,Mark Addy,Robin Hood ,6.7,1190s|archer|england|king of england|robin hood,,
23,Peter Jackson,Adventure|Fantasy,Aidan Turner,The Hobbit: The Desolation of Smaug ,7.9,dwarf|elf|lake town|mountain|sword and sorcery,,
24,Chris Weitz,Adventure|Family|Fantasy,Christopher Lee,The Golden Compass ,6.1,children|epic|friend|girl|quest,,
25,Peter Jackson,Action|Adventure|Drama|Romance,Naomi Watts,King Kong ,7.2,animal name in title|ape abducts a woman|gorilla|island|king kong,,
26,James Cameron,Drama|Romance,Leonardo DiCaprio,Titanic ,7.7,artist|love|ship|titanic|wet,,
27,Anthony Russo,Action|Adventure|Sci-Fi,Robert Downey Jr.,Captain America: Civil War ,8.2,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,,
28,Peter Berg,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,Battleship ,5.9,box office flop|hawaii|naval|oahu hawaii|ship,,
29,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,Jurassic World ,7.0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,,
30,Sam Mendes,Action|Adventure|Thriller,Albert Finney,Skyfall ,7.8,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,,
31,Sam Raimi,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man 2 ,7.3,death|doctor|scientist|super villain|tentacle,,
32,Shane Black,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 3 ,7.2,armor|explosion|human bomb|missile attack|terrorist,,
33,Tim Burton,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland ,6.5,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,,
34,Brett Ratner,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men: The Last Stand ,6.8,battle|mutant|outrage|walking through a wall|x men,,
35,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Monsters University ,7.3,cheating|fraternity|monster|singing in a car|university,,
36,Michael Bay,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Revenge of the Fallen ,6.0,autobot|decepticon|machine|sun|symbol,,
37,Michael Bay,Action|Adventure|Sci-Fi,Bingbing Li,Transformers: Age of Extinction ,5.7,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,,
38,Sam Raimi,Adventure|Family|Fantasy,Tim Holmes,Oz the Great and Powerful ,6.4,circus|magic|magician|oz|witch,,
39,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,The Amazing Spider-Man 2 ,6.7,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,,
40,Joseph Kosinski,Action|Adventure|Sci-Fi,Jeff Bridges,TRON: Legacy ,6.8,arcade|bridge|disappearance|escape|warrior,,
41,John Lasseter,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,Cars 2 ,6.3,best friend|car race|conspiracy|gadget car|spy,,
42,Martin Campbell,Action|Adventure|Sci-Fi,Ryan Reynolds,Green Lantern ,5.6,autopsy|lantern|planet|ring|test pilot,,
43,Lee Unkrich,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Toy Story 3 ,8.3,college|day care|escape|teddy bear|toy,,
44,McG,Action|Adventure|Sci-Fi,Christian Bale,Terminator Salvation ,6.6,death row|future|machine|rescue|skynet,,
45,James Wan,Action|Crime|Thriller,Jason Statham,Furious 7 ,7.2,car falling off a cliff|hospital|revenge|star died before release|terrorist,,
46,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,World War Z ,7.0,chaos|disease|infection|pandemic|zombie,,
47,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,X-Men: Days of Future Past ,8.0,dystopia|super strength|supernatural power|time paradox|time travel,,
48,J.J. Abrams,Action|Adventure|Sci-Fi,Benedict Cumberbatch,Star Trek Into Darkness ,7.8,admiral|captain|manhunt|mission|space,,
49,Bryan Singer,Adventure|Fantasy,Eddie Marsan,Jack the Giant Slayer ,6.3,bean|giant|king|no opening credits|princess,,
50,Baz Luhrmann,Drama|Romance,Leonardo DiCaprio,The Great Gatsby ,7.3,ingratitude|mansion|party|title appears in writing|tragedy,,
51,Mike Newell,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,6.6,alamut|dagger|king|persia|princess,,
52,Guillermo del Toro,Action|Adventure|Sci-Fi,Charlie Hunnam,Pacific Rim ,7.0,giant monster|kaiju|pilot|portal|robot,,
53,Michael Bay,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Dark of the Moon ,6.3,autobot|decepticon|job interview|moon|spacecraft,,
54,Steven Spielberg,Action|Adventure|Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,6.2,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,,
55,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,The Good Dinosaur ,6.8,apatosaurus|asteroid|dinosaur|fear|river,,
56,Mark Andrews,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,Brave ,7.2,archery|coming of age|female warrior|princess|rebellious daughter,,
57,Justin Lin,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,Star Trek Beyond ,7.5,hatred|sequel|space opera|star trek|third part,,
58,Andrew Stanton,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,WALL·E ,8.4,earth|obesity|plant|robot|soil,,
59,Brett Ratner,Action|Comedy|Crime|Thriller,Tzi Ma,Rush Hour 3 ,6.2,ambassador|assassination|chinese|french|triad,,
60,Roland Emmerich,Action|Adventure|Sci-Fi,Oliver Platt,2012 ,5.8,ark|catastrophe|geologist|president|writer,,
61,Robert Zemeckis,Animation|Drama|Family|Fantasy,Robin Wright,A Christmas Carol ,6.8,charles dickens|christmas|christmas eve|ghost|scrooge,,
62,Lana Wachowski,Action|Adventure|Sci-Fi,Channing Tatum,Jupiter Ascending ,5.4,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,,
63,David Yates,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,6.6,africa|capture|jungle|male objectification|tarzan,,
64,Andrew Adamson,Adventure|Family|Fantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",6.9,hide and seek|lion|magic|professor|snow,,
65,Bryan Singer,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: Apocalypse ,7.3,mutant|superhero|superhero team|x men|year 1983,,
66,Christopher Nolan,Action|Crime|Drama|Thriller,Christian Bale,The Dark Knight ,9.0,based on comic book|dc comics|psychopath|star died before release|urban setting,,
67,Pete Docter,Adventure|Animation|Comedy|Family,John Ratzenberger,Up ,8.3,balloon|house|promise|retirement|skeleton,,
68,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,Monsters vs. Aliens ,6.5,alien|alien invasion|alien space craft|giant|giantess,,
69,Jon Favreau,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man ,7.9,afghanistan|billionaire|inventor|playboy|u.s. air force,,
70,Martin Scorsese,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,Hugo ,7.5,automaton|mechanical|railway station|steampunk|train,,
71,Barry Sonnenfeld,Action|Comedy|Sci-Fi|Western,Will Smith,Wild Wild West ,4.8,buddy movie|general|inventor|steampunk|utah,,
72,Rob Cohen,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,The Mummy: Tomb of the Dragon Emperor ,5.2,army|china|emperor|mummy|shangri la,,
73,David Ayer,Action|Adventure|Comedy|Sci-Fi,Will Smith,Suicide Squad ,6.9,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,,
74,Tom Shadyac,Comedy|Family|Fantasy,Jimmy Bennett,Evan Almighty ,5.4,ark|change|congressman|depiction of god|flood,,
75,Doug Liman,Action|Adventure|Sci-Fi,Tom Cruise,Edge of Tomorrow ,7.9,alien|combat|dying repeatedly|end of the world|time loop,,
76,Kevin Reynolds,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,Waterworld ,6.1,future|sail|sea|smoker|water,,
77,Stephen Sommers,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,5.8,cobra|gi joe|snake|train|warhead,,
78,Pete Docter,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,Inside Out ,8.3,anger|joy|memory|running away|sadness,,
79,Jon Favreau,Adventure|Drama|Family|Fantasy,Scarlett Johansson,The Jungle Book ,7.8,fire|jungle|remake|tiger|wolf,,
80,Jon Favreau,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 2 ,7.0,hammer|military|monaco|revenge|tony stark,,
81,Rupert Sanders,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Snow White and the Huntsman ,6.1,evil queen|fairy tale|magic|queen|snow white,,
82,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Maleficent ,7.0,curse|dark fantasy|fairy|king|kingdom,,
83,Matt Reeves,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Dawn of the Planet of the Apes ,7.6,ape|dam|leader|post apocalypse|sequel,,
84,Roland Joffé,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,The Lovers ,4.5,1770s|british india|great barrier reef|india|ring,,
85,Carl Rinsch,Action|Adventure|Drama|Fantasy,Keanu Reeves,47 Ronin ,6.3,box office flop|ronin|samurai|shogun|tournament,,
86,Anthony Russo,Action|Adventure|Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier ,7.8,conspiracy|heroism|megalomaniac|super soldier|world domination,,
87,Mike Mitchell,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,Shrek Forever After ,6.4,alternate world|fairy tale parody|female warrior|ogre|true love,,
88,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,Tomorrowland ,6.5,boy genius|futuristic city|inventor|teenage girl|time travel,,
89,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,Big Hero 6 ,7.9,high tech|martial arts|masked man|robot|superhero,,
90,Rich Moore,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Wreck-It Ralph ,7.8,arcade|candy|glitch|king|medal,,
91,Robert Zemeckis,Adventure|Animation|Family|Fantasy,Tom Hanks,The Polar Express ,6.6,boy|christmas|christmas eve|north pole|train,,
92,Roland Emmerich,Action|Adventure|Sci-Fi,Vivica A. Fox,Independence Day: Resurgence ,5.5,alien|battle|defense|independence day|mothership,,
93,Dean DeBlois,Adventure|Animation|Family|Fantasy,Gerard Butler,How to Train Your Dragon ,8.2,dragon|island|training|viking|village,,
94,Jonathan Mostow,Action|Sci-Fi,Nick Stahl,Terminator 3: Rise of the Machines ,6.4,drifter|exploding truck|future|machine|skynet,,
95,James Gunn,Action|Adventure|Sci-Fi,Bradley Cooper,Guardians of the Galaxy ,8.1,bounty hunter|outer space|raccoon|talking animal|tree,,
96,Christopher Nolan,Adventure|Drama|Sci-Fi,Matthew McConaughey,Interstellar ,8.6,black hole|father daughter relationship|saving the world|space travel|wormhole,,
97,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,Inception ,8.8,ambiguous ending|corporate espionage|dream|subconscious|thief,,
98,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Godzilla Resurgence ,8.2,blood|godzilla|monster|sequel,,
99,Peter Jackson,Adventure|Fantasy,Aidan Turner,The Hobbit: An Unexpected Journey ,7.9,dragon|dwarf|hobbit|orc|wizard,,
100,Rob Cohen,Action|Crime|Thriller,Paul Walker,The Fast and the Furious ,6.7,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,,
101,David Fincher,Drama|Fantasy|Romance,Brad Pitt,The Curious Case of Benjamin Button ,7.8,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,,
102,Matthew Vaughn,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: First Class ,7.8,cia|cia agent|mutant|nuclear war|professor,,
103,Francis Lawrence,Adventure|Sci-Fi,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,6.6,death of sister|dystopia|execution|rebellion|revolution,,
104,Jon Turteltaub,Action|Adventure|Family|Fantasy,Nicolas Cage,The Sorcerer's Apprentice ,6.1,chosen one|enchanted object|love|spell|training,,
105,Wolfgang Petersen,Action|Adventure|Drama|Thriller,Jimmy Bennett,Poseidon ,5.6,cruise|escape|ocean|passenger|water,,
106,James Bobin,Adventure|Family|Fantasy,Johnny Depp,Alice Through the Looking Glass ,6.4,clock|dark fantasy|mad hatter|queen|sequel,,
107,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,Shrek the Third ,6.1,disney spoof|fairy tale|prince|princess|tough guy,,
108,Duncan Jones,Action|Adventure|Fantasy,Dominic Cooper,Warcraft ,7.3,based on video game|fictional language|fictional war|orc|sword and sorcery,,
109,Alan Taylor,Action|Adventure|Sci-Fi,J.K. Simmons,Terminator Genisys ,6.6,alternate timeline|cyborg|future|robot|time machine,,
110,Michael Apted,Adventure|Family|Fantasy,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,6.3,dragon|king|mouse|quest|warrior,,
111,Michael Bay,Action|Drama|History|Romance|War,Jennifer Garner,Pearl Harbor ,6.1,air raid|black smoke|japanese military|japanese navy|sunday,,
112,Michael Bay,Action|Adventure|Sci-Fi,Zack Ward,Transformers ,7.1,alien contact|autobot|decepticon|robot vs. robot|teenage hero,,
113,Oliver Stone,Action|Adventure|Biography|Drama|History|Romance|War,Anthony Hopkins,Alexander ,5.5,ancient greece|conquest|greek|greek myth|king,,
114,David Yates,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Harry Potter and the Order of the Phoenix ,7.5,battle|magic|school|teacher|wizard,,
115,Mike Newell,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Harry Potter and the Goblet of Fire ,7.6,fire|goblet|magic|tournament|wizard,,
116,Peter Berg,Action|Drama,Will Smith,Hancock ,6.4,bully comeuppance|destruction|prison|superhero|tough girl,,
117,Francis Lawrence,Drama|Horror|Sci-Fi,Will Smith,I Am Legend ,7.2,new york city|pandemic|post apocalypse|survivalist|virus,,
118,Tim Burton,Adventure|Comedy|Family|Fantasy,Johnny Depp,Charlie and the Chocolate Factory ,6.7,chocolate|diminution|miniaturization|physical flexability|ticket,,
119,Brad Bird,Animation|Comedy|Family|Fantasy,Janeane Garofalo,Ratatouille ,8.0,chef|food|french|rat|restaurant,,
120,Christopher Nolan,Action|Adventure,Christian Bale,Batman Begins ,8.3,armored car|gangster|gotham|mixed martial arts|social decay,,
121,Eric Darnell,Action|Adventure|Animation|Comedy|Family,Bernie Mac,Madagascar: Escape 2 Africa ,6.7,africa|madagascar|new york city|sequel|zoo,,
122,Shawn Levy,Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum: Battle of the Smithsonian ,5.9,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,,
123,Gavin Hood,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men Origins: Wolverine ,6.7,army|civil war|claw fight|commando|wolverine the character,,
124,Lana Wachowski,Action|Sci-Fi,Essie Davis,The Matrix Revolutions ,6.7,battle|epic|fight|future|machine,,
125,Chris Buck,Adventure|Animation|Comedy|Family|Fantasy|Musical,Josh Gad,Frozen ,7.6,magic|sister love|sister sister relationship|snow|snowman,,
126,Lana Wachowski,Action|Sci-Fi,Steve Bastoni,The Matrix Reloaded ,7.2,car motorcycle chase|one against many|oracle|prophecy|stylized violence,,
127,Alan Taylor,Action|Adventure|Fantasy,Chris Hemsworth,Thor: The Dark World ,7.1,arrest|portal|thor|warrior|weapon,,
128,George Miller,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,Mad Max: Fury Road ,8.1,australia|desert|escape|on the run|post apocalypse,,
129,Ron Howard,Mystery|Thriller,Tom Hanks,Angels & Demons ,6.7,conclave|illuminati|murder|reference to bernini|reference to raphael,,
130,Kenneth Branagh,Action|Adventure|Fantasy,Chris Hemsworth,Thor ,7.0,battle|marvel cinematic universe|scientist|thor|throne,,
131,Byron Howard,Adventure|Animation|Comedy|Drama|Family,Chloë Grace Moretz,Bolt ,6.9,cat|dog|hamster|new york city|superpower,,
132,Hoyt Yeatman,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Kelli Garner,G-Force ,5.1,fbi director|guinea pig|household appliance|secret agent|talking mouse,,
133,Jonathan Liebesman,Action|Adventure|Fantasy,Liam Neeson,Wrath of the Titans ,5.8,ares|hades|titan|underworld|zeus,,
134,Tim Burton,Comedy|Fantasy|Horror,Johnny Depp,Dark Shadows ,6.2,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,,
135,Christopher McQuarrie,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible - Rogue Nation ,7.4,capture|computer hacker|mission|rogue agent|spy,,
136,Joe Johnston,Drama|Fantasy|Horror|Thriller,Anthony Hopkins,The Wolfman ,5.8,asylum|death|full moon|transformation|werewolf,,
137,David Yates,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,6.6,africa|capture|jungle|male objectification|tarzan,,
138,Steve Hickner,Adventure|Animation|Comedy|Family,Matthew Broderick,Bee Movie ,6.2,bee|dream sequence|egg|scatological humor|squashed bug,,
139,Jennifer Yuh Nelson,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Kung Fu Panda 2 ,7.3,china|kung fu|panda|peacock|tigress,,
140,M. Night Shyamalan,Action|Adventure|Family|Fantasy,Seychelle Gabriel,The Last Airbender ,4.2,avatar|fire|kingdom|tribe|water,,
141,J.J. Abrams,Action|Adventure|Thriller,Philip Seymour Hoffman,Mission: Impossible III ,6.9,arms dealer|fictional government agency|mission|rescue|vatican,,
142,Roland Emmerich,Action|Drama|Thriller,Channing Tatum,White House Down ,6.4,black u.s. president|president|secret service|tour|white house,,
143,Simon Wells,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Elisabeth Harnois,Mars Needs Moms ,5.4,boy|martian|rescue|robot|sexism,,
144,David Bowers,Adventure|Animation|Comedy|Family,Hugh Jackman,Flushed Away ,6.7,boat|frog|rat|sewer|toad,,
145,Joe Wright,Adventure|Family|Fantasy,Hugh Jackman,Pan ,5.8,1940s|child hero|fantasy world|orphan|reference to peter pan,,
146,Rob Minkoff,Adventure|Animation|Comedy|Family|Sci-Fi,Ty Burrell,Mr. Peabody & Sherman ,6.9,dog|father son relationship|inventor|talking dog|time travel,,
147,Wolfgang Petersen,Adventure,Brad Pitt,Troy ,7.2,greek|mythology|prince|trojan|troy,,
148,Eric Darnell,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted ,6.9,animal|circus|island name in title|lemur|penguin,,
149,Lee Tamahori,Action|Adventure|Thriller,Toby Stephens,Die Another Day ,6.1,catfight|clinic|colonel|diamond|patricide,,
150,Paul Feig,Action|Comedy|Fantasy|Sci-Fi,Ed Begley Jr.,Ghostbusters ,5.5,ghost|ghostbuster|ghostbusters|male objectification|reboot,,
151,Michael Bay,Action|Adventure|Sci-Fi|Thriller,Bruce Willis,Armageddon ,6.6,asteroid|astronaut|bomb|meteorite|outer space,,
152,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Will Smith,Men in Black II ,6.1,alien|lingerie|lingerie model|m.i.b.|pug,,
153,Robert Zemeckis,Action|Adventure|Animation|Fantasy,Robin Wright,Beowulf ,6.3,creature|demon|king|reward|warrior,,
154,Alessandro Carloni,Action|Adventure|Animation|Comedy|Family,J.K. Simmons,Kung Fu Panda 3 ,7.2,china|kung fu|panda|pig|village,,
155,Brad Bird,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible - Ghost Protocol ,7.4,dubai|kremlin|race against time|russian|terrorist,,
156,Peter Ramsey,Adventure|Animation|Family|Fantasy,Hugh Jackman,Rise of the Guardians ,7.3,belief|box office hit|children|new york city|tooth,,
157,Dean Parisot,Comedy|Crime,John Michael Higgins,Fun with Dick and Jane ,6.1,animal abuse|ceo|heist|suburb|unemployment,,
158,Edward Zwick,Action|Drama|History|War,Tom Cruise,The Last Samurai ,7.7,captain|emperor|honor|japan|samurai,,
159,Ridley Scott,Action|Adventure|Drama,Christian Bale,Exodus: Gods and Kings ,6.1,egypt|exodus|moses|pharaoh|plague,,
160,J.J. Abrams,Action|Adventure|Sci-Fi,Chris Hemsworth,Star Trek ,8.0,box office hit|future|lifted by the throat|star trek|vulcan,,
161,Sam Raimi,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man ,7.3,evil|goblin|spider|spider man|superhero,,
162,Dean DeBlois,Action|Adventure|Animation|Comedy|Family|Fantasy,Gerard Butler,How to Train Your Dragon 2 ,7.9,dragon|father son relationship|husband wife relationship|mother son relationship|viking,,
163,Alex Proyas,Action|Adventure|Fantasy,Gerard Butler,Gods of Egypt ,5.5,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,,
164,Rob Cohen,Action|Adventure|Sci-Fi|Thriller,Sam Shepard,Stealth ,5.0,artificial intelligence|box office flop|fighter jet|navy|pilot,,
165,Zack Snyder,Action|Drama|Mystery|Sci-Fi,Matt Frewer,Watchmen ,7.7,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,,
166,Richard Donner,Action|Crime|Thriller,Jet Li,Lethal Weapon 4 ,6.6,kung fu|lapd|martial arts|private investigator|triad,,
167,Ang Lee,Action|Sci-Fi,Kevin Rankin,Hulk ,5.7,1980s|c 130 hercules|monster|panzer|san francisco california,,
168,Jon M. Chu,Action|Adventure|Sci-Fi|Thriller,Channing Tatum,G.I. Joe: Retaliation ,5.8,general|gi joe|martial arts|ninja|president,,
169,Breck Eisner,Action|Adventure|Comedy|Thriller,Matthew McConaughey,Sahara ,6.0,beach|civil war|desert|dictator|ship,,
170,Hironobu Sakaguchi,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Steve Buscemi,Final Fantasy: The Spirits Within ,6.4,general|military|scientist|soldier|year 2065,,
171,Joe Johnston,Action|Adventure|Sci-Fi,Chris Evans,Captain America: The First Avenger ,6.9,arctic|captain america|scientist|tesseract|war bond,,
172,Michael Apted,Action|Adventure|Thriller,Colin Salmon,The World Is Not Enough ,6.4,british|oil|scientist|terrorist|tycoon,,
173,Peter Weir,Action|Adventure|Drama|History|War,James D'Arcy,Master and Commander: The Far Side of the World ,7.4,1800s|napoleonic wars|pursuit|royal navy|ship,,
174,Bill Condon,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,5.5,battle|friend|super strength|vampire|vision,,
175,George Miller,Animation|Comedy|Family|Musical,Robin Williams,Happy Feet 2 ,5.9,3d|antarctica|krill|penguin|sequel,,
176,Louis Leterrier,Action|Adventure|Sci-Fi,Ty Burrell,The Incredible Hulk ,6.8,antidote|cure|hulk|marvel cinematic universe|opening action scene,,
178,Steven Spielberg,Adventure|Family|Fantasy,Mark Rylance,The BFG ,6.8,cannibal|evil brother|giant|london england|queen,,
179,Alejandro G. Iñárritu,Adventure|Drama|Thriller|Western,Leonardo DiCaprio,The Revenant ,8.1,bear attack|cauterizing a wound|native american|revenge|survival,,
180,David Soren,Adventure|Animation|Comedy|Family|Sport,Ryan Reynolds,Turbo ,6.5,accident|freak accident|race|snail|underdog,,
